"Problèmes Techniques"
Référence;Bloquant;"Date de correction";"Date de signalement";Opérateur;Module(s);Equipement;Description;Solution;"Fichier(s) joint(s)"
678;X;;27/02/2019;"0_TECHNICIENS (Groupe Techniciens)";122;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 122 (VAP 12T 28b GN/FOD)";;
679;X;;27/02/2019;"0_MÉCANICIENS (Groupe Mécaniciens)";123;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 123 (VAP 12T 28b GN/FOD)";;
680;X;;27/02/2019;"0_TECHNICIENS (Groupe Techniciens)";123;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 123 (VAP 12T 28b GN/FOD)";;
681;X;;27/02/2019;"0_MÉCANICIENS (Groupe Mécaniciens)";124;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 124 (VAP 12T 28b GN/FOD)";;
682;X;;27/02/2019;"0_TECHNICIENS (Groupe Techniciens)";124;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 124 (VAP 12T 28b GN/FOD)";;
683;X;;27/02/2019;"0_MÉCANICIENS (Groupe Mécaniciens)";146;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 146 (VAP 12T 28b GN/FOD)";;
684;X;;27/02/2019;"0_TECHNICIENS (Groupe Techniciens)";146;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 146 (VAP 12T 28b GN/FOD)";;
685;X;;27/02/2019;"0_AUTOMATICIENS (Groupe Automaticiens)";146;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 146 (VAP 12T 28b GN/FOD)";;
686;X;;27/02/2019;"0_MÉCANICIENS (Groupe Mécaniciens)";151;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 151 (VAP 16T 24,5b GN/FOD version SH  + ancien design)";;
687;X;;27/02/2019;"0_TECHNICIENS (Groupe Techniciens)";151;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 151 (VAP 16T 24,5b GN/FOD version SH  + ancien design)";;
688;X;;27/02/2019;"0_AUTOMATICIENS (Groupe Automaticiens)";151;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 151 (VAP 16T 24,5b GN/FOD version SH  + ancien design)";;
675;X;;26/02/2019;"0_TECHNICIENS (Groupe Techniciens)";144;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 144 (VAP 16T 24,5b GN/FOD)";;
676;X;;26/02/2019;"0_AUTOMATICIENS (Groupe Automaticiens)";144;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 144 (VAP 16T 24,5b GN/FOD)";;
672;X;;04/02/2019;"0_TECHNICIENS (Groupe Techniciens)";107;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 107 (VAP 3T2 16b GN/FOD)";;
666;X;;31/01/2019;"0_TECHNICIENS (Groupe Techniciens)";109;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 109 (VAP 6T 20b GN/FOD)";;
664;;;25/01/2019;"0_TECHNICIENS (Groupe Techniciens)";152;"IBC ";"remplacer la cpu, piece en stock";;
663;;;22/01/2019;"0_AUTOMATICIENS (Groupe Automaticiens)";161;"CHECK TECHNICIEN";"PSL et PSH inversés physiquement
A mettre en ordre lors du check";;
662;;;21/01/2019;"0_TECHNICIENS (Groupe Techniciens)";160;"ARMOIRE ÉLECTRIQUE";"servo rezi canal 4 etamatic desactivé, voir maxime et kevin";;
634;X;;09/01/2019;"0_TECHNICIENS (Groupe Techniciens)";551;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 551 (CUVE EFFLUENT 17,5m3 environ)";;
627;X;;09/01/2019;"0_MÉCANICIENS (Groupe Mécaniciens)";129;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 129 (VAP 3T2 16b GN/FOD)";;
628;X;;09/01/2019;"0_TECHNICIENS (Groupe Techniciens)";129;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 129 (VAP 3T2 16b GN/FOD)";;
630;X;;09/01/2019;"0_MÉCANICIENS (Groupe Mécaniciens)";139;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 139 (VAP 12T 28b GN/FOD)";;
631;X;;09/01/2019;"0_TECHNICIENS (Groupe Techniciens)";139;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 139 (VAP 12T 28b GN/FOD)";;
635;X;;09/01/2019;"0_MÉCANICIENS (Groupe Mécaniciens)";141;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 141 (VAP 3T2 16b GN/FOD)";;
636;X;;09/01/2019;"0_TECHNICIENS (Groupe Techniciens)";141;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 141 (VAP 3T2 16b GN/FOD)";;
608;X;;20/12/2018;"0_MÉCANICIENS (Groupe Mécaniciens)";563;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 563 (SKID POMPE FIOUL)";;
609;X;;20/12/2018;"0_TECHNICIENS (Groupe Techniciens)";563;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 563 (SKID POMPE FIOUL)";;
614;X;;20/12/2018;"0_MÉCANICIENS (Groupe Mécaniciens)";596;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 596 (DETENTE HP GAZ)";;
615;X;;20/12/2018;"0_TECHNICIENS (Groupe Techniciens)";596;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 596 (DETENTE HP GAZ)";;
587;X;;18/12/2018;"0_MÉCANICIENS (Groupe Mécaniciens)";532;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 532 (SILENCIEUX VAPEUR 30T 20B)";;
588;X;;18/12/2018;"0_TECHNICIENS (Groupe Techniciens)";532;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 532 (SILENCIEUX VAPEUR 30T 20B)";;
